stat_name,value,description
simSeconds,0.00364,Number of seconds simulated (Second)
simTicks,3640370500,Number of ticks simulated (Tick)
finalTick,3640370500,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,64.48,Real time elapsed on the host (Second)
hostTickRate,56460102,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4310980,Number of bytes of host memory used (Byte)
simInsts,24695747,Number of instructions simulated (Count)
simOps,45922951,Number of ops (including micro ops) simulated (Count)
hostInstRate,383017,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,712238,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,3640370500,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,3640370500,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,14561483,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,0.643838,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,1.553186,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,43739262,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,2685,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,43097367,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,51683,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,1589120,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,3108235,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,722,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,14099972,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,3.056557,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev,2.913942,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0,5243866,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1,737832,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2,871798,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3,933794,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4,1231427,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5,1244891,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6,1434707,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7,1157104,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8,1244553,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value,8,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total,14099972,Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu,143944,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatSqrt,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAdd,1,attempts to use FU when none available (Count)
